date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:57:47	0/0	---M--	302	error ('Found')	application/binary	date:Sat,%2030%20Nov%202024%2007:57:48%20GMT	https://sites.google.com/view/happy-dog-stene/index	C:/My%20Web%20Sites/TEST/sites.google.com/view/happy-dog-stene/index.0.delayed	(from )
08:57:48	0/0	---M--	302	error ('Found')	application/binary	date:Sat,%2030%20Nov%202024%2007:57:48%20GMT	https://accounts.google.com/ServiceLogin?passive=1209600&osid=1&continue=https://sites.google.com/view/happy-dog-stene/index&followup=https://sites.google.com/view/happy-dog-stene/index	C:/My%20Web%20Sites/TEST/accounts.google.com/ServiceLogin.1dba5.delayed	(from )
08:57:48	619/619	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2030%20Nov%202024%2007:57:48%20GMT	https://accounts.google.com/InteractiveLogin?continue=https://sites.google.com/view/happy-dog-stene/index&followup=https://sites.google.com/view/happy-dog-stene/index&osid=1&passive=1209600&ifkv=AcMMx-djZJ4cSUD7bnXXAHIlZkIHuZO69X69MHY-_JpwDKOK4slEZahBjmZ1DpkQAlZF_m7aavvVPw	C:/My%20Web%20Sites/TEST/accounts.google.com/InteractiveLogin.2b21f.delayed	(from )
08:57:49	104/104	---MCZ	200	added ('OK')	text/plain	date:Sat,%2030%20Nov%202024%2007:57:49%20GMT	https://accounts.google.com/robots.txt		(from )
08:57:49	871685/871685	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Nov%202024%2007:57:48%20GMT	https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fsites.google.com%2Fview%2Fhappy-dog-stene%2Findex&followup=https%3A%2F%2Fsites.google.com%2Fview%2Fhappy-dog-stene%2Findex&ifkv=AcMMx-dq7OO00U7v0X3RJZddrZS7j51r1qrSR5S8WdU0bCtiwht0Moxyl5JhgaRoR9JyHpUxaYDMoQ&osid=1&passive=1209600&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S1027426580%3A1732953468651502	C:/My%20Web%20Sites/TEST/accounts.google.com/v3/signin/identifier4c22.html	(from )
08:57:51	3240/3240	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Nov%202023%2022:48:00%20GMT	http://ssl.gstatic.com/images/branding/googlelogo/2x/googlelogo_color_74x24dp.png	C:/My%20Web%20Sites/TEST/ssl.gstatic.com/images/branding/googlelogo/2x/googlelogo_color_74x24dp.png	(from https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fsites.google.com%2Fview%2Fhappy-dog-stene%2Findex&followup=https%3A%2F%2Fsites.google.com%2Fview%2Fhappy-dog-stene%2Findex&ifkv=AcMMx-dq7OO00U7v0X3RJZddrZS7j51r1qrSR5S8WdU0bCtiwht0Moxyl5JhgaRoR9JyHpUxaYDMoQ&osid=1&passive=1209600&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S1027426580%3A1732953468651502)
08:57:51	1652/1652	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Nov%202024%2007:57:52%20GMT	https://accounts.google.com/v3/signin/document.location.toString(	C:/My%20Web%20Sites/TEST/accounts.google.com/v3/signin/document.location.6.delayed	(from https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fsites.google.com%2Fview%2Fhappy-dog-stene%2Findex&followup=https%3A%2F%2Fsites.google.com%2Fview%2Fhappy-dog-stene%2Findex&ifkv=AcMMx-dq7OO00U7v0X3RJZddrZS7j51r1qrSR5S8WdU0bCtiwht0Moxyl5JhgaRoR9JyHpUxaYDMoQ&osid=1&passive=1209600&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S1027426580%3A1732953468651502)
08:57:52	1652/1652	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Nov%202024%2007:57:52%20GMT	https://accounts.google.com/v3/signin/Edg/	C:/My%20Web%20Sites/TEST/accounts.google.com/v3/signin/Edg/index.html	(from https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fsites.google.com%2Fview%2Fhappy-dog-stene%2Findex&followup=https%3A%2F%2Fsites.google.com%2Fview%2Fhappy-dog-stene%2Findex&ifkv=AcMMx-dq7OO00U7v0X3RJZddrZS7j51r1qrSR5S8WdU0bCtiwht0Moxyl5JhgaRoR9JyHpUxaYDMoQ&osid=1&passive=1209600&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S1027426580%3A1732953468651502)
08:57:52	1652/1652	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Nov%202024%2007:57:52%20GMT	https://accounts.google.com/v3/signin/	C:/My%20Web%20Sites/TEST/accounts.google.com/v3/signin/index.html	(from https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fsites.google.com%2Fview%2Fhappy-dog-stene%2Findex&followup=https%3A%2F%2Fsites.google.com%2Fview%2Fhappy-dog-stene%2Findex&ifkv=AcMMx-dq7OO00U7v0X3RJZddrZS7j51r1qrSR5S8WdU0bCtiwht0Moxyl5JhgaRoR9JyHpUxaYDMoQ&osid=1&passive=1209600&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S1027426580%3A1732953468651502)
08:57:52	742654/742654	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Nov%202024%2007:57:50%20GMT	https://accounts.google.com/v3/signin/rejected?continue=https://sites.google.com/view/happy-dog-stene/index&dsh=S1027426580:1732953468651502&flowEntry=ServiceLogin&flowName=WebLiteSignIn&followup=https://sites.google.com/view/happy-dog-stene/index&ifkv=AcMMx-dq7OO00U7v0X3RJZddrZS7j51r1qrSR5S8WdU0bCtiwht0Moxyl5JhgaRoR9JyHpUxaYDMoQ&osid=1&rhlk=js&rrk=47	C:/My%20Web%20Sites/TEST/accounts.google.com/v3/signin/rejectedb38f.html	(from https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fsites.google.com%2Fview%2Fhappy-dog-stene%2Findex&followup=https%3A%2F%2Fsites.google.com%2Fview%2Fhappy-dog-stene%2Findex&ifkv=AcMMx-dq7OO00U7v0X3RJZddrZS7j51r1qrSR5S8WdU0bCtiwht0Moxyl5JhgaRoR9JyHpUxaYDMoQ&osid=1&passive=1209600&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S1027426580%3A1732953468651502)
